# INTERNAL_OJS vocabulary — 6 May-2008 packages (2008085-2008105), issue 41 sweep
# element<TAB>count<TAB>packages_seen(of 6)<TAB>attrs
#PACKAGES 6
#HEADINGS 2110:961 2210:912 2280:910 2180:846 8098:642 1110:388 1180:380 2580:256 2220:249 2540:159 2510:138 2100:123 2240:109 2120:101 1120:68 1100:64 2200:57 0708:51 22D0:34 25F0:32 C398:31 3210:28 25C0:26 2140:25 22E0:21 2230:20 2520:19 3380:19 3310:18 1160:16 2130:15 1140:15 3280:13 22M0:12 PARL:12 3340:11 3110:10 0788:8 2250:8 9008:7 5008:6 21Y0:6 11M0:6 C298:6 0808:6 3180:6 3540:5 4280:4 3220:4 1130:4 21M0:3 CONS:3 4310:3 4008:3 3140:3 2150:2 4380:2 3580:2 25E0:2 3320:2 22Y0:1 3510:1 3350:1 3300:1 3200:1 4180:1 4320:1 25B0:1 1150:1 4520:1 33M0:1 33D0:1 3120:1 21B0:1 02A0:1
CONTRACT_AWARD_SUM	1890	6	CATEGORY FORM LG VERSION
CONTRACT_AWARD_UTILITIES	24	5	CATEGORY FORM LG VERSION
CONTRACT_AWARD_UTILITIES_SUM	234	6	CATEGORY FORM LG VERSION
CONTRACT_COVERED_GPA	759	6	VALUE
CONTRACT_LIKELY_SUB_CONTRACTED	5	3	
CONTRACT_LOCATION_TYPE	3	2	
CONTRACT_NO	325	6	
CONTRACT_NUMBER	5259	6	
CONTRACT_OBJECT_DESCRIPTION	43	6	
CONTRACT_OBJECT_DESCRIPTION_SUM	280	6	
CONTRACT_RELATING_CONDITIONS	475	6	
CONTRACT_SUM	2519	6	CATEGORY FORM LG VERSION
CONTRACT_TITLE	566	6	
CONTRACT_UTILITIES	43	6	CATEGORY FORM LG VERSION
CONTRACT_UTILITIES_SUM	280	6	CATEGORY FORM LG VERSION
CONTRACT_VALUE_INFORMATION	4722	6	
CORREC	608	6	
COSTS_RANGE_AND_CURRENCY	339	6	CURRENCY
COSTS_RANGE_AND_CURRENCY_WITH_VAT_RATE	5875	6	CURRENCY
COUNTRY	17097	6	VALUE
CPV	7218	6	
CPV_ADDITIONAL	8178	6	
CPV_CODE	15396	6	CODE
CPV_MAIN	7218	6	
CPV_SUPPLEMENTARY_CODE	68	5	CODE
CRITERIA	1206	6	
CRITERIA_DEFINITION	1232	6	
CRITERIA_EVALUATION_PROJECTS	4	3	
CRITERIA_SELECTION_PARTICIPANTS	4	3	
CRITERIA_STATED_BELOW	70	6	
CRITERIA_STATED_IN_OTHER_DOCUMENT	425	6	
DATE_DISP	6907	6	
DATE_LIMIT_RECEIPT_APPLICATION	1	1	
DATE_LIMIT_RECEIPT_INTEREST	5	4	
DATE_OF_CONTRACT_AWARD	25	5	
DATE_OJ	287	6	
DATE_PUB	6907	6	
DATE_PUBLICATION	1	1	
DATE_REC	6907	6	
DATE_REGISTRATION	1	1	
DATE_TIME	116	6	
DAY	7969	6	
DAYS	4	3	
DEADLINE_REC	4092	6	
DEADLINE_REQ	2294	6	
DECISION_BINDING_CONTRACTING	4	3	
DEL	224	6	
DELETION_DATE	6907	6	
DEPOSITS_GUARANTEES	2	2	
DEPOSITS_GUARANTEES_REQUIRED	231	6	
DESCRIPTION	3	2	
DESCRIPTION_AWARD_NOTICE_INFORMATION	291	6	
DESCRIPTION_AWARD_NOTICE_INFORMATION_SUM	1890	6	
DESCRIPTION_CONCESSION_SUM	16	6	
DESCRIPTION_CONTRACT_AWARD_UTILITIES	24	5	
DESCRIPTION_CONTRACT_AWARD_UTILITIES_SUM	234	6	
DESCRIPTION_CONTRACT_INFORMATION	469	6	
DESCRIPTION_CONTRACT_INFORMATION_SUM	2519	6	
DESCRIPTION_OF_CONTRACT	5	4	
DESCRIPTION_SUM	5263	6	
DESIGN_CONTEST	4	3	CATEGORY FORM LG VERSION
DESIGN_CONTEST_SUM	31	6	CATEGORY FORM LG VERSION
